Die spinnen die Römer;22.01.2020
Le Prophète;24.01.2020
Der Bettelstudent;22.01.2020
Sister Act;26.01.2020
Il Trovatore;28.01.2020
Die Entführung aus dem Serail;30.01.2020
Die spinnen die Römer;31.01.2020
Die Entführung aus dem Serail;02.02.2020
Die spinnen die Römer;05.02.2020
Die Entführung aus dem Serail;06.02.2020
Sister Act;07.02.
Die spinnen die Römer;08.02.2020
Il Trovatore;09.02.2020
Sister Act;11.02.2020
Le Prophète;12.02.2020
Der Bettelstudent;13.02.2020
Die spinnen die Römer;14.02.2020
Il Trovatore;15.02.2020
Die spinnen die Römer;19.02.2020
Der Bettelstudent;20.02.2020
Il Trovatore;21.02.2020
Sister Act;22.02.2020
Il Trovatore;24.02.2020
Die spinnen die Römer;25.02.2020
Il Trovatore;26.02.2020
Die Entführung aus dem Serail;28.02.2020
Cinderella;29.02.2020
Die spinnen die Römer;01.03.2020
Die Entführung aus dem Serail;02.03.2020
Le Prophète;03.03.2020
Cinderella;04.03.2020
Il Trovatore;06.03.2020
Die spinnen die Römer;07.03.2020
Die Entführung aus dem Serail;08.03.2020
Die spinnen die Römer;09.03.2020
Il Trovatore;11.03.2020
Die spinnen die Römer;12.03.2020
Il Trovatore;13.03.2020
Die Entführung aus dem Serail;14.03.2020
Cinderella;15.03.2020
Sister Act;17.03.2020
Il Trovatore;18.03.2020
Die spinnen die Römer;19.03.2020
Il Trovatore;20.03.2020
Cinderella;21.03.2020
Il Trovatore;02.04.2020
Sister Act;26.03.2020
Die Entführung aus dem Serail;27.03.2020
Cinderella;28.03.2020
Il Trovatore;31.03.2020
Cinderella;01.04.2020
Il Trovatore;02.04.2020
Die Entführung aus dem Serail;03.04.2020
Cinderella;04.04.2020
Der Bettelstudent;09.04.2020
Parsifal;11.04.2020
Cinderella;12.04.2020
Cinderella;13.04.2020
Der Bettelstudent;15.04.2020
Die Entführung aus dem Serail;16.04.2020
Cinderella;17.04.2020
Parsifal;18.04.2020
Die spinnen die Römer;19.04.2020
Die Entführung aus dem Serail;20.04.2020
Wir sind Musical!;24.04.2020
Der Bettelstudent;25.04.2020
Die spinnen die Römer;26.04.2020
Der Bettelstudent;28.04.2020
Wir sind Musical!;29.04.2020
Cinderella;30.04.2020
Il Trovatore;01.05.2020
Die Entführung aus dem Serail;02.05.2020
Parsifal;03.05.2020
Der Bettelstudent;05.05.2020
Sister Act;06.05.2020
Sister Act;07.05.2020
Sister Act;08.05.2020
Die spinnen die Römer;09.05.2020
Parsifal;10.05.2020
Die spinnen die Römer;11.05.2020
Il Trovatore;13.05.2020
Der Bettelstudent;14.05.2020
Sister Act;15.05.2020
Parsifal;16.05.2020
Parsifal;21.05.2020
Die spinnen die Römer;22.05.2020
Die Entführung aus dem Serail;23.05.2020
Der Bettelstudent;24.05.2020
Cinderella;26.05.2020
Wir sind Musical!;28.05.2020
Cinderella;29.05.2020
Unter dem Gletscher;30.05.2020
Cinderella;31.05.2020
Parsifal;01.06.2020
Il Trovatore;03.06.2020
Cinderella;05.06.2020
Unter dem Gletscher;06.06.2020
Der Bettelstudent;09.06.2020
Wir sind Musical!;10.06.2020
Parsifal;11.06.2020
Wir sind Musical!;12.06.2020
Unter dem Gletscher;13.06.2020
Unter dem Gletscher;15.06.2020
Der Bettelstudent;18.06.2020
Cinderella;19.06.2020
Unter dem Gletscher;20.06.2020
Wir sind Musical!;21.06.2020
Unter dem Gletscher;25.06.2020
Der Bettelstudent;26.06.2020
Wir sind Musical!;27.06.2020
Parsifal;28.06.2020
Der Bettelstudent;29.06.2020
Die spinnen die Römer;30.06.2020
Die spinnen die Römer;01.07.2020
Der Bettelstudent;02.07.2020
Die spinnen die Römer;03.07.2020